SYLLABARY,PRONUNCIATION,ACTOR,ACTEE,SET,IMP FORM SYLLABARY,IMP FORM ROMAN
Ꮩ¹ᏍᏗ²-,Do¹sdi²-,"He and I, we",them-inanimate,a,Ꮶ¹ᏍᏗ²-,jo¹sdi²-
Ꮩ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-,Do¹jạ²da²[d]-,"They and I, we",each other,a,Ꮶ¹Ꮳ̣²Ꮣ²-,jo¹jạ²da²[d]-
Ꮩ¹Ꮵ²-,Do¹ji²-,"They and I, we",them-inanimate,a,Ꮶ¹Ꮵ²-,jo¹ji²-
Ꮪ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,Du¹nạ²da²[d]-,They,each other,b,Ꮷ¹Ꮎ̣²Ꮣ²-,ju¹nạ²da²[d]-
Ꮪ¹Ꮒ²-,Du¹ni²-,They,them-animate,b,Ꮷ¹Ꮒ²-,ju¹ni²-
Ꮪ¹Ꮒ²-,Du¹ni²-,They,them-inanimate,b,Ꮷ¹Ꮒ²-,ju¹ni²-
"Ꮪ²-, Ꮪ²Ꮹ͓-","Du²-, Du²w-",He,them-animate,b,"Ꮷ²-, Ꮷ²Ꮹ͓-","ju²-, ju²w-"
"Ꮪ²-, Ꮪ²Ꮹ͓-","Du²-, Du²w-",He,them-inanimate,b,"Ꮷ²-, Ꮷ²Ꮹ͓-","ju²-, ju²w-"
Ꮳ̣²-,Jạ²-,He,you one,,,
Ꮳ̣²-,Jạ²-,You one,it,b,,
Ꮳ̣²Ꮣ²[Ꮣ͓]-,Jạ²da²[d]-,You one,yourself,b,,
"Ꮵ̣²-, Ꭶ͓-","Jị²-, G-",I,it,a,,
"Ꮵ²-, Ꮵ²Ꮿ͓-","Ji²-, Ji²y-",I,him,,,
