SYLLABARY,PRONUNCIATION,ACTOR,ACTEE,SET,IMP FORM SYLLABARY,IMP FORM ROMAN
Ꮥ³Ꮎ̣²Ꮣ²[Ꮣ͓]-,De³nạ²da²[d]-,"You one and I, we",each other,a,Ꮧ̣²Ꮎ̣²Ꮣ²-,Dị²nạ²da²[d]-
Ꭱ¹Ꮒ²-,E¹ni²-,"You one and I, we",him,,,
Ꭲ¹Ꮒ²-,I¹ni²-,"You one and I, we",it,a,,
Ꭹ̣²Ꮒ²-,Gị²ni²-,"You one and I, we",it,b,,
Ꭲ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-,I¹nạ²da²[d]-,"You one and I, we",ourselves,a,,
Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-,Gị²nạ²da²[d]-,"You one and I, we",ourselves,b,,
Ꭸ²Ꮒ̣²-,Ge²ni²-,"You one and I, we",them-animate,,,
Ꮥ²Ꭹ̣²Ꮒ²-,De²gị²ni²-,"You one and I, we",them-inanimate,b,Ꮧ̣²Ꭹ̣²Ꮒ²-,Dị²gị²ni²-
Ꮥ³Ꮒ̣²-,De³ni²-,"You one and I, we",them-inanimate,a,Ꮧ̣³Ꮒ̣²-,Dị'³ni²-
Ꮥ²ᏍᏓ̣²Ꮣ²[Ꮣ͓]-,De²sdạ²da²[d]-,You two,each other,,Ꮧ̣²ᏍᏓ̣²Ꮣ²-,Dị²sdạ²da²[d]-
Ꭱ¹ᏍᏗ²-,E¹sdi²-,You two,him,,,
ᏍᏗ²-,Sdi²-,You two,it,,,
ᏍᎩ̣²Ꮒ²-,Sgị²ni²-,You two,me,,,
Ꭸ²ᏍᏗ²-,Ge²sdi²-,You two,them-animate,,,
Ꮥ²ᏍᏗ²-,De²sdi²-,You two,them-inanimate,,Ꮧ̣²ᏍᏗ²-,Dị²sdi²-
ᏍᎩ̣²Ꮒ²-,Sgi²̣ni²-,You two,"us, him and me",,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You two,"us, them and me",,,
ᏍᏓ̣²Ꮣ²[Ꮣ͓]-,Sdạ²da²[d]-,You two,yourselves,,,
"Ꭰ¹Ꮵ̣²-, Ꭰ¹Ꭶ͓-","A¹jị²-, A¹g-",,He,,,
Ꭳ¹Ꭹ̣²Ꮒ²-,O¹gị²ni²-,,"He and I, we",,,
"Ꭵ¹Ꭹ̣²-, Ꭵ¹Ꮖ͓-","V¹gị²-, V¹gw-",,I,,,
"Ꭸ²Ꮵ²-, Ꭸ²Ꭶ͓-","Ge²ji²-, Ge²g-",,They,,,
Ꭳ¹Ꭹ²-,O¹gi²-,,"They and I, we",,,
Ꭱ¹Ꮵ²-,E¹ji²-,,You all,,,
Ꭱ¹Ꭹ²-,E¹gi²-,,"You all and I, we",,,
Ꭱ¹Ꮳ̣²-,E¹jạ²-,,You one,,,
Ꭱ¹Ꭹ̣²Ꮒ²-,E¹gị²ni²-,,"You one and I, we",,,
Ꭱ¹ᏍᏗ²-,E¹sdi²-,,You two,,,
